ocel:eid,ocel:timestamp,ocel:activity,ocel:type:vacancies,ocel:type:managers,ocel:type:applicants,ocel:type:applications,ocel:type:recruiters,ocel:type:offers
1,2019-05-20 12:26:57+00:00,open vacancy,['Vacancy[550001] - Manager'],['Bastian Nominacher'],,,,
2,2019-05-20 12:26:57+00:00,submit application,,,['Stephan Taylor'],['Application[770001]'],,
3,2019-05-20 13:38:13+00:00,submit application,,,['Toon Jansen'],['Application[770002]'],,
4,2019-05-20 15:00:46+00:00,submit application,,,['Jorge Li'],['Application[770003]'],,
5,2019-05-20 15:45:06+00:00,submit application,,,['Lisa Jones'],['Application[770004]'],,
6,2019-05-20 17:14:31+00:00,submit application,['Vacancy[550001] - Manager'],,['Pete Jansen'],['Application[770005]'],,
7,2019-05-20 18:57:42+00:00,submit application,['Vacancy[550001] - Manager'],,['Jorge Weber'],['Application[770006]'],,
8,2019-05-20 21:24:03+00:00,submit application,,,['Vanessa Lemmens'],['Application[770007]'],,
9,2019-05-20 22:25:57+00:00,open vacancy,['Vacancy[550002] - Consultant'],['Bastian Nominacher'],,,,
10,2019-05-21 05:11:23+00:00,submit application,['Vacancy[550002] - Consultant'],,['Ray Johnson'],['Application[770008]'],,
11,2019-05-21 07:20:51+00:00,submit application,['Vacancy[550001] - Manager'],,['Vanessa Zimmermann'],['Application[770009]'],,
12,2019-05-21 08:26:01+00:00,submit application,['Vacancy[550002] - Consultant'],,['Sonia Brown'],['Application[770010]'],,
13,2019-05-21 09:36:22+00:00,submit application,,,['Ray Jones'],['Application[770011]'],,
14,2019-05-21 10:57:04+00:00,submit application,,,['Ray Pietersen'],['Application[770012]'],,
15,2019-05-21 12:38:27+00:00,submit application,['Vacancy[550001] - Manager'],,['Angela Park'],['Application[770013]'],,
16,2019-05-21 12:49:29+00:00,open vacancy,['Vacancy[550003] - Programmer'],['Bastian Nominacher'],,,,
17,2019-05-21 12:55:58+00:00,assign recruiter,,,,['Application[770009]'],"['Ed Hense', 'Dionne Keane', 'Simon Keane']",
18,2019-05-21 13:07:23+00:00,assign recruiter,,,,['Application[770010]'],"['Ed Geisler', 'Ed Kershaw', 'Jana Geisler']",
19,2019-05-21 13:21:42+00:00,first screening,,,,['Application[770010]'],['Ed Geisler'],
20,2019-05-21 14:01:14+00:00,submit application,['Vacancy[550003] - Programmer'],,['Johan Jansen'],['Application[770014]'],,
21,2019-05-21 14:45:34+00:00,submit application,['Vacancy[550003] - Programmer'],,['Mary Johnson'],['Application[770015]'],,
22,2019-05-21 15:49:56+00:00,assign recruiter,,,,['Application[770008]'],"['Dionne Geisler', 'Ed Geisler', 'Simon Keane']",
23,2019-05-21 16:15:27+00:00,submit application,['Vacancy[550002] - Consultant'],,['Ray Schmidt'],['Application[770016]'],,
24,2019-05-21 16:59:47+00:00,submit application,,,['Toon Davis'],['Application[770017]'],,
25,2019-05-21 19:28:00+00:00,submit application,,,['Ray Lopez'],['Application[770018]'],,
26,2019-05-21 21:24:40+00:00,submit application,,,['Mary Wagner'],['Application[770019]'],,
27,2019-05-22 02:33:50+00:00,open vacancy,['Vacancy[550004] - Programmer'],['Martin Klenk'],,,,
28,2019-05-22 05:12:36+00:00,submit application,['Vacancy[550003] - Programmer'],,['Detlef Zimmermann'],['Application[770020]'],,
29,2019-05-22 06:54:17+00:00,assign recruiter,,,,['Application[770003]'],"['Ed Meister', 'Dionne Meister', 'Jana Meister']",
30,2019-05-22 07:22:12+00:00,submit application,['Vacancy[550002] - Consultant'],,['Vanessa Johnson'],['Application[770021]'],,
31,2019-05-22 08:14:33+00:00,first screening,,,,['Application[770008]'],['Dionne Geisler'],
32,2019-05-22 08:28:43+00:00,submit application,['Vacancy[550002] - Consultant'],,['Dave Wang'],['Application[770022]'],,
33,2019-05-22 08:36:06+00:00,assign recruiter,,,,['Application[770020]'],"['Simon Keane', 'Dionne Meister', 'Ed Kershaw']",
34,2019-05-22 09:33:28+00:00,assign recruiter,,,,['Application[770014]'],"['Simon Hense', 'Ed Meister', 'Jana Keane']",
35,2019-05-22 09:41:46+00:00,submit application,['Vacancy[550003] - Programmer'],,['Stephan Smith'],['Application[770023]'],,
36,2019-05-22 10:06:22+00:00,first screening,,,,['Application[770009]'],['Ed Hense'],
37,2019-05-22 11:07:52+00:00,submit application,['Vacancy[550001] - Manager'],,['Ray Davis'],['Application[770024]'],,
38,2019-05-22 11:31:13+00:00,assign recruiter,,,,['Application[770012]'],"['Simon Kershaw', 'Ed Meister', 'Simon Keane']",
39,2019-05-22 11:52:11+00:00,submit application,['Vacancy[550003] - Programmer'],,['Johan Davis'],['Application[770025]'],,
40,2019-05-22 13:22:10+00:00,open vacancy,['Vacancy[550005] - Programmer'],['Martin Klenk'],,,,
41,2019-05-22 13:28:42+00:00,submit application,,,['Andre Johnson'],['Application[770026]'],,
42,2019-05-22 13:41:46+00:00,assign recruiter,,,,['Application[770005]'],"['Jana Meister', 'Dionne Keane', 'Simon Meister']",
43,2019-05-22 14:12:29+00:00,assign recruiter,,,,['Application[770015]'],"['Simon Keane', 'Ed Kershaw', 'Ed Keane']",
44,2019-05-22 14:14:32+00:00,check references,,,,['Application[770009]'],"['Dionne Keane', 'Simon Keane']",
45,2019-05-22 14:22:18+00:00,assign vacancy,['Vacancy[550002] - Consultant'],,,['Application[770003]'],,
46,2019-05-22 14:41:44+00:00,submit application,['Vacancy[550001] - Manager'],,['Dave Neumann'],['Application[770027]'],,
47,2019-05-22 15:01:10+00:00,assign vacancy,['Vacancy[550001] - Manager'],,,['Application[770012]'],,
48,2019-05-22 15:17:01+00:00,assign recruiter,,,,['Application[770016]'],"['Jana Hense', 'Simon Hense', 'Simon Keane']",
49,2019-05-22 15:18:28+00:00,first screening,,,,['Application[770020]'],['Simon Keane'],
50,2019-05-22 15:22:15+00:00,assign recruiter,,,,['Application[770022]'],"['Jana Keane', 'Simon Geisler', 'Simon Meister']",
51,2019-05-22 15:44:16+00:00,assign recruiter,,,,['Application[770027]'],"['Ed Keane', 'Jana Geisler', 'Ed Kershaw']",
52,2019-05-22 16:07:47+00:00,submit application,,,['Pete Weber'],['Application[770028]'],,
53,2019-05-22 16:52:07+00:00,submit application,['Vacancy[550002] - Consultant'],,['Chun Smith'],['Application[770029]'],,
54,2019-05-22 19:05:00+00:00,submit application,,,['Detlef Smith'],['Application[770030]'],,
55,2019-05-22 20:38:40+00:00,submit application,['Vacancy[550002] - Consultant'],,['Andre Li'],['Application[770031]'],,
56,2019-05-23 03:15:16+00:00,submit application,,,['Ray Park'],['Application[770032]'],,
